,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
65,Data Scientist,$90K - $115K (Employer est.),Data Science,4.0,"Trane Technologies
4.0","Minneapolis, MN",-1,10000+ Employees,2020.0,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,0,0,90,115,102.5,Trane Technologies,MN,0.0,data scientist,na,0,90,115
66,"Director, Data Science- SMB Labs",$90K - $115K (Employer est.),Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1,0,0,90,115,102.5,Indeed,Remote,16.0,director,na,0,90,115
67,"Data Scientist, Demand Forecasting",$90K - $115K (Employer est.),Data Science,1.0,"Wonder
1.0","New York, NY",-1,1 to 50 Employees,-1.0,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,90,115,102.5,Wonder,NY,-1.0,data scientist,na,0,90,115
68,Predictive Modeler,$90K - $115K (Employer est.),Data Science,3.3,"Lancer Insurance Company
3.3",Remote,-1,201 to 500 Employees,1985.0,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,90,115,102.5,Lancer Insurance Company,Remote,35.0,na,na,0,90,115
69,"2022474 Data Scientist $215,000.00",$90K - $115K (Employer est.),Data Science,5.0,"B4CORP
5.0","Chantilly, VA",-1,51 to 200 Employees,-1.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,90,115,102.5,B4CORP,VA,-1.0,data scientist,na,0,90,115
70,Senior Data Scientist (remote),$90K - $115K (Employer est.),Data Science,3.8,"Liberty Mutual Insurance
3.8",Remote,-1,10000+ Employees,1912.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),-1,0,0,90,115,102.5,Liberty Mutual Insurance,Remote,108.0,data scientist,senior,0,90,115
71,Arity-Data Scientist Researcher (Remote-Home Based Worker),$90K - $115K (Employer est.),Data Science,3.5,"Allstate
3.5","Northbrook, IL",-1,10000+ Employees,1931.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1,0,0,90,115,102.5,Allstate,IL,89.0,data scientist,na,0,90,115
72,Principal Data Scientist,$90K - $115K (Employer est.),Data Science,3.8,"Verizon
3.8","Newport Beach, CA",-1,10000+ Employees,2000.0,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1,0,0,90,115,102.5,Verizon,CA,20.0,data scientist,senior,0,90,115
73,"Data Analyst / Sr Analyst - Strategy, Analytics & Insights",$90K - $115K (Employer est.),Data Science,4.0,"Uber
4.0","New York, NY",-1,10000+ Employees,2009.0,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,0,0,90,115,102.5,Uber,NY,11.0,analyst,senior,0,90,115
74,Snr Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1.0,Engtal,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,90,115,102.5,Engtal,Remote,-1.0,mle,na,0,90,115
75,Senior Machine Learning Data Scientist - Hybrid Remote,$90K - $115K (Employer est.),Data Science,3.3,"CaaStle
3.3","Mountain View, CA",-1,201 to 500 Employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,90,115,102.5,CaaStle,CA,8.0,data scientist,senior,0,90,115
76,Lead Data Scientist - Remote,$90K - $115K (Employer est.),Data Science,3.7,"Stanley, Black and Decker
3.7","New Britain, CT",-1,10000+ Employees,1843.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,90,115,102.5,"Stanley, Black and Decker",CT,177.0,data scientist,senior,0,90,115
77,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1.0,TikTok,"Mountain View, CA",-1,1001 to 5000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,90,115,102.5,TikTok,CA,4.0,mle,na,0,90,115
78,Data Scientist (People Products),$90K - $115K (Employer est.),Data Science,-1.0,The World's Largest Social Network,"Seattle, WA",-1,1 to 50 Employees,2012.0,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,90,115,102.5,The World's Largest Social Network,WA,8.0,data scientist,na,0,90,115
79,Machine Learning Engineer,$95K - $115K (Employer est.),Data Science,-1.0,"Microvast, Inc","Lake Mary, FL",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,95,115,105.0,"Microvast, Inc",FL,-1.0,mle,na,0,95,115
80,Sr. Data Scientist,$95K - $115K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,10000+ Employees,1833.0,Company - Public,Health Care Services & Hospitals,Health Care,$10+ billion (USD),-1,0,0,95,115,105.0,McKesson,Remote,187.0,data scientist,senior,0,95,115
81,"Sr Data Analyst, AMERICAS",$95K - $115K (Employer est.),Data Science,-1.0,Smart AdServer,"New York, NY",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,95,115,105.0,Smart AdServer,NY,-1.0,analyst,senior,0,95,115
82,Data Scientist,$95K - $115K (Employer est.),Data Science,3.4,"Praescient Analytics
3.4","Washington, DC",-1,51 to 200 Employees,2011.0,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,95,115,105.0,Praescient Analytics,DC,9.0,data scientist,na,0,95,115
83,Principal OR Sr Principal Data Scientist,$95K - $115K (Employer est.),Data Science,4.0,"Northrop Grumman
4.0","San Diego, CA",-1,10000+ Employees,1939.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,95,115,105.0,Northrop Grumman,CA,81.0,data scientist,senior,0,95,115
